threshold_source,quantile,threshold,train_precision,holdout_precision,train_signal_rate,holdout_signal_rate,holdout_profit_factor
train_percentile_value,80,0.12881584465503693,0.0,0.0,0.21985794613791063,0.9040874140024282,0.0
holdout_percentile_value,80,0.3416757344940152,0.0,0.0,0.0,0.20098598285567124,0.0
train_percentile_value,85,0.1594782918691635,0.0,0.0,0.15732465226398343,0.8999668886354438,0.0
holdout_percentile_value,85,0.36037934668071653,0.0,0.0,0.0,0.15337919870497774,0.0
train_percentile_value,90,0.17332619428634644,0.0,0.0,0.10591891092039064,0.8871270372686804,0.0
holdout_percentile_value,90,0.36148310102942516,0.0,0.0,0.0,0.13825834222434788,0.0
train_percentile_value,95,0.2213531732559204,0.0,0.0,0.06016572950577094,0.87277877929436,0.0
holdout_percentile_value,95,0.36349453978159124,0.0,0.0,0.0,0.05231595599867554,0.0
train_percentile_value,97,0.2318742573261261,0.0,0.0,0.03104468777744895,0.8605643648136566,0.0
holdout_percentile_value,97,0.3787015945330296,0.0,0.0,0.0,0.03498767521430411,0.0
train_percentile_value,98,0.2325468808412552,0.0,0.0,0.021041728321988754,0.8605643648136566,0.0
holdout_percentile_value,98,0.38824503311258274,0.0,0.0,0.0,0.02207424303741584,0.0
train_percentile_value,99,0.2325468808412552,0.0,0.0,0.021041728321988754,0.8605643648136566,0.0
holdout_percentile_value,99,0.38824503311258274,0.0,0.0,0.0,0.02207424303741584,0.0
