state,train_n,holdout_n,train_pos_rate,holdout_pos_rate,recommended_quantile,recommended_threshold_source,recommended_threshold,recommended_holdout_precision,recommended_holdout_signal_rate,recommended_holdout_profit_factor,baseline_quantile,baseline_threshold,baseline_holdout_precision,baseline_holdout_signal_rate,selection_reason
LOW_VOL,26262,1145,0.33158175310334326,0.36681222707423583,95,holdout_percentile_value,0.38824503311258274,0.5333333333333333,0.09170305676855896,1.1428571428571428,99,0.35638168454170227,0.3915547024952015,0.4550218340611354,meets_constraints
RANGE,34689,7632,0.3000086482746692,0.3398846960167715,97,holdout_percentile_value,0.38824503311258274,0.4153846153846154,0.034067085953878404,0.7105263157894737,99,0.32408156991004944,0.34806842206419375,0.6817348008385744,fallback_best_available
TRANSITION_DOWN,46397,7654,0.301506562924327,0.3202247191011236,90,holdout_percentile_value,0.3622887637118294,0.39018087855297157,0.10112359550561797,0.6398305084745762,99,0.34443730115890503,0.3461178671655753,0.27933106872223673,fallback_best_available
TRANSITION_UP,8339,1284,0.2927209497541672,0.32009345794392524,98,holdout_percentile_value,0.38824503311258274,0.4375,0.024922118380062305,0.7777777777777778,99,0.34443730115890503,0.3563218390804598,0.338785046728972,fallback_best_available
TREND_DOWN,70671,18805,0.308358449717706,0.3103429938846052,97,holdout_percentile_value,0.3787015945330296,0.4096,0.033235841531507576,0.6937669376693767,99,0.35638168454170227,0.3757736516357206,0.12028715767083223,fallback_best_available
TREND_UP,68714,16697,0.29800331810111474,0.28639875426723366,98,holdout_percentile_value,0.3787015945330296,0.39436619718309857,0.025513565311133735,0.6511627906976745,99,0.34443730115890503,0.3735234215885947,0.14703240103012516,fallback_best_available
VOLATILE,33790,27181,0.0,0.0,98,holdout_percentile_value,0.38824503311258274,0.0,0.02207424303741584,0.0,99,0.2325468808412552,0.0,0.8605643648136566,fallback_best_available
