threshold_source,quantile,threshold,train_precision,holdout_precision,train_signal_rate,holdout_signal_rate,holdout_profit_factor
train_percentile_value,80,0.2778626084327698,0.3423314445788502,0.2902671755725191,0.22858515004220392,0.9414864945798647,0.4089809088464641
holdout_percentile_value,80,0.3288999098286745,0.36044880785413747,0.37031741492708037,0.010376342521174723,0.20943882134515182,0.5881017257039055
train_percentile_value,85,0.2778626084327698,0.3423314445788502,0.2902671755725191,0.22858515004220392,0.9414864945798647,0.4089809088464641
holdout_percentile_value,85,0.3416757344940152,0.36056338028169016,0.37539556962025317,0.01033268329598044,0.15140444391208002,0.6010132995566815
train_percentile_value,90,0.2835105359554291,0.3576062491725142,0.2916774193548387,0.10991937596414122,0.9283104749356171,0.41178613717096274
holdout_percentile_value,90,0.3609854198089492,0.3492063492063492,0.3801136363636364,0.0009168437290799546,0.10540815715397976,0.613198900091659
train_percentile_value,95,0.3217298686504364,0.3701594533029613,0.3392356499926221,0.05111039962744128,0.405881296041205,0.5133988387673069
holdout_percentile_value,95,0.3622887637118294,0.3492063492063492,0.3687281213535589,0.0009168437290799546,0.051326585614182185,0.5841035120147874
train_percentile_value,97,0.3230888247489929,0.36897001303780963,0.3392356499926221,0.04464883429868731,0.405881296041205,0.5133988387673069
holdout_percentile_value,97,0.36349453978159124,0.3492063492063492,0.3711507293354943,0.0009168437290799546,0.036952746002275855,0.5902061855670103
train_percentile_value,98,0.32408156991004944,0.37575351640991295,0.3392356499926221,0.02172774107168845,0.405881296041205,0.5133988387673069
holdout_percentile_value,98,0.3787015945330296,0.0,0.39436619718309857,0.0,0.025513565311133735,0.6511627906976745
train_percentile_value,99,0.34443730115890503,0.36056338028169016,0.3735234215885947,0.01033268329598044,0.14703240103012516,0.5962288686605982
holdout_percentile_value,99,0.38824503311258274,0.0,0.38846153846153847,0.0,0.01557165957956519,0.6352201257861635
