threshold_source,quantile,threshold,train_precision,holdout_precision,train_signal_rate,holdout_signal_rate,holdout_profit_factor
train_percentile_value,80,0.2778626084327698,0.33897058823529413,0.31899600023187064,0.307905647295213,0.9173624036160596,0.4684201566224038
holdout_percentile_value,80,0.3288999098286745,0.3929260450160772,0.36396489416623645,0.02200336771801729,0.20600904014889657,0.5722402597402597
train_percentile_value,85,0.2950635254383087,0.3625772285966461,0.3388339690200047,0.16032035771391376,0.6831693698484446,0.5124793972215682
holdout_percentile_value,85,0.34889802017183413,0.3984799131378936,0.3725217391304348,0.013032219722375515,0.15288487104493487,0.593680709534368
train_percentile_value,90,0.32247593998908997,0.37649243831254975,0.355119825708061,0.10666327064849797,0.3417176282903483,0.5506756756756757
holdout_percentile_value,90,0.36148310102942516,0.5,0.37653411880216003,0.0005377028767103904,0.1083222547194895,0.6039370078740157
train_percentile_value,95,0.32408156991004944,0.38873239436619716,0.355119825708061,0.05023276874531279,0.3417176282903483,0.5506756756756757
holdout_percentile_value,95,0.3622887637118294,0.5,0.3828326180257511,0.0005377028767103904,0.061951608614730126,0.6203059805285118
train_percentile_value,97,0.3255684971809387,0.38594327990135635,0.36396489416623645,0.03442713418516789,0.20600904014889657,0.5722402597402597
holdout_percentile_value,97,0.3787015945330296,0.0,0.4096,0.0,0.033235841531507576,0.6937669376693767
train_percentile_value,98,0.34443730115890503,0.3921188630490956,0.3725217391304348,0.021904317188096958,0.15288487104493487,0.593680709534368
holdout_percentile_value,98,0.38824503311258274,0.0,0.40694789081885857,0.0,0.021430470619516088,0.6861924686192469
train_percentile_value,99,0.35638168454170227,0.3984799131378936,0.3757736516357206,0.013032219722375515,0.12028715767083223,0.6019830028328612
holdout_percentile_value,99,0.38824503311258274,0.0,0.40694789081885857,0.0,0.021430470619516088,0.6861924686192469
