threshold_source,quantile,threshold,train_precision,holdout_precision,train_signal_rate,holdout_signal_rate,holdout_profit_factor
train_percentile_value,80,0.2778626084327698,0.329559574761839,0.3398857750033205,0.208798178096803,0.9865041928721174,0.5148893360160965
holdout_percentile_value,80,0.36148310102942516,0.0,0.35733819507748404,0.0,0.28747379454926625,0.5560283687943263
train_percentile_value,85,0.2778626084327698,0.329559574761839,0.3398857750033205,0.208798178096803,0.9865041928721174,0.5148893360160965
holdout_percentile_value,85,0.3622887637118294,0.0,0.3710094909404659,0.0,0.15186058700209643,0.5898491083676269
train_percentile_value,90,0.2835105359554291,0.35020408163265304,0.34013877768881773,0.1059413646977428,0.9819182389937107,0.5154701718907988
holdout_percentile_value,90,0.36349453978159124,0.0,0.3774069319640565,0.0,0.10207023060796645,0.6061855670103092
train_percentile_value,95,0.30766624212265015,0.3641160949868074,0.3400797754468902,0.06555392199256248,0.8869234800838575,0.5153346765166779
holdout_percentile_value,95,0.3787015945330296,0.0,0.39574468085106385,0.0,0.061582809224318656,0.6549295774647887
train_percentile_value,97,0.3230888247489929,0.36642453591606133,0.34806842206419375,0.03571737438381043,0.6817348008385744,0.5339033018867925
holdout_percentile_value,97,0.38824503311258274,0.0,0.4153846153846154,0.0,0.034067085953878404,0.7105263157894737
train_percentile_value,98,0.3230888247489929,0.36642453591606133,0.34806842206419375,0.03571737438381043,0.6817348008385744,0.5339033018867925
holdout_percentile_value,98,0.38824503311258274,0.0,0.4153846153846154,0.0,0.034067085953878404,0.7105263157894737
train_percentile_value,99,0.32408156991004944,0.36542669584245074,0.34806842206419375,0.01317420507941999,0.6817348008385744,0.5339033018867925
holdout_percentile_value,99,0.38824503311258274,0.0,0.4153846153846154,0.0,0.034067085953878404,0.7105263157894737
