period,state,n,pos_rate,auc_roc,auc_pr,brier,log_loss,ece,mce,score_mean,score_std,score_p50,score_p90,score_p95
holdout,BREAKOUT_WAIT_DOWN,107,0.3177570093457944,0.5924657534246576,0.44098509066412483,0.2166218388266189,0.6239372575072393,0.05550590171532422,0.11580086580086585,0.3732629110611186,0.0791137130349803,0.35274444225850876,0.5324675324675324,0.5324675324675324
holdout,BREAKOUT_WAIT_UP,31,0.41935483870967744,0.6452991452991453,0.6230929449919219,0.2252284537673423,0.6412362960589196,0.056025585661396704,0.1341991341991342,0.38678032202081114,0.10055124779990846,0.4074702886247878,0.5324675324675324,0.5324675324675324
holdout,LOW_VOL,1145,0.4200873362445415,0.5304335846504521,0.4760348942741016,0.24877829978481814,0.6925983240656247,0.10229700767912066,0.13429290122175708,0.35681017310374946,0.07609628898216936,0.33769716088328083,0.4609286523216308,0.5324675324675324
holdout,RANGE,7632,0.3096174004192872,0.4924015193748566,0.31157997166617607,0.21636612295333574,0.6315525457930466,0.0409036594135119,0.6203235781860565,0.31933253119377764,0.050049050678112106,0.30917484977282733,0.3906379453189728,0.4288150042625747
holdout,TRANSITION_DOWN,7654,0.3102952704468252,0.53737685566445,0.33991228017159647,0.213824037978741,0.6447863034533532,0.012041266795245063,0.14948880906327733,0.3154999053365107,0.055349170327762515,0.30917484977282733,0.3663771078180889,0.4288150042625747
holdout,TRANSITION_UP,1284,0.2850467289719626,0.5077815279117112,0.29814005463070337,0.20588820916612643,0.6217242181182192,0.0449146384859486,0.819327731092437,0.30502652978140443,0.048141299979727534,0.29430729550478996,0.35274444225850876,0.3991494377261838
holdout,TREND_DOWN,18805,0.3133209252858282,0.5960696864792944,0.3883598071365687,0.21083999815794124,0.6367597635291553,0.021940026441494218,0.035557763622365235,0.30303996373089936,0.06262390179480182,0.30238990449025477,0.3663771078180889,0.4288150042625747
holdout,TREND_UP,16697,0.28651853626399953,0.5479392629029808,0.32132714906679744,0.2044326768765987,0.6046821410056074,0.02201664588201933,0.3015328378076091,0.30714114866833325,0.05668994180603988,0.30238990449025477,0.3663771078180889,0.4288150042625747
holdout,VOLATILE,27181,0.0,,,0.08017083448776961,0.3140185736901091,0.26274983642093075,0.5324675324675325,0.2627498364209307,0.10551472858584142,0.2869892899642999,0.3451937747940189,0.3663771078180889
train,BREAKOUT_WAIT_DOWN,3368,0.3565914489311164,0.5457963233991671,0.4052995275920964,0.22846058743485126,0.6494398461703461,0.0265564455865327,0.1818181702068874,0.3300350033445837,0.034944836378857196,0.3192904591560364,0.3663771152496338,0.39063793420791626
train,BREAKOUT_WAIT_UP,1157,0.38547968885047534,0.5409642201661274,0.42318874674533635,0.23885391856267527,0.6713084698384344,0.04993218492616736,0.1046128277703533,0.3359964932979132,0.041763093559083454,0.33542096614837646,0.39063793420791626,0.42626070976257324
train,LOW_VOL,26262,0.33142944177899625,0.5282920971900692,0.3608483879859165,0.221136681530582,0.6342575287906451,0.00800451656911154,0.1797141283750534,0.32964064273054117,0.03349346648356666,0.3192904591560364,0.3663771152496338,0.39063793420791626
train,RANGE,34689,0.28669030528409584,0.525688780614752,0.3076569858882486,0.20635252888636343,0.6074231390573505,0.020217902792876555,0.2239358502770702,0.2703662915645532,0.05611899970733748,0.27621451020240784,0.3178480267524719,0.33542096614837646
train,TRANSITION_DOWN,46397,0.3024980063366166,0.5380441821012726,0.3296177650133784,0.21186058804668884,0.6175379889804798,0.0192638910296348,0.19441150759619263,0.28380412528147664,0.05660529657885844,0.29430729150772095,0.3376971483230591,0.3451937735080719
train,TRANSITION_UP,8339,0.2903225806451613,0.5294624427271848,0.31662845937772843,0.2079729790646359,0.6105552605105871,0.027477450161772027,0.5324675440788269,0.27541518138860294,0.06470324617580274,0.2869893014431,0.3376971483230591,0.3451937735080719
train,TREND_DOWN,70671,0.30917915410847446,0.5579051395756328,0.3581483901462335,0.2125180849518901,0.6180839484600208,0.016584329338127368,0.15027251403185216,0.29259482477034715,0.06716004515019701,0.30238988995552063,0.3527444303035736,0.3663771152496338
train,TREND_UP,68714,0.297624938149431,0.5540366037729116,0.3433031476182952,0.20843996177996352,0.6098730139274475,0.01609600288877477,0.1703445967676804,0.2849623930748568,0.06631728553805465,0.29430729150772095,0.3451937735080719,0.3663771152496338
train,VOLATILE,33790,0.0,,,0.019566856806138712,0.12525898329407448,0.11387840303940769,0.4416390061378479,0.11387840303940769,0.08123155869077567,0.08026030659675598,0.24319136142730713,0.25828465819358826
validation,RANGE,235,0.2765957446808511,0.6370135746606335,0.38365110730224256,0.1938258847403062,0.5724799004740476,0.051154402532476044,0.1376547003785769,0.25530430744303034,0.05578276769917076,0.26917964220046997,0.3136833846569061,0.3178480267524719
validation,TRANSITION_DOWN,158,0.2848101265822785,0.39950835791543754,0.2512261019499279,0.22058035681929766,0.6588103383218936,0.07355371709394305,0.7253975383937359,0.22471911443656759,0.059574130291567995,0.24319136142730713,0.29430729150772095,0.3091748356819153
validation,TRANSITION_UP,25,0.24,0.3684210526315789,0.22291046371928724,0.20069904701019414,0.6103147074837046,0.1615832245349884,0.26072412654757504,0.1930039232969284,0.06433288286710442,0.20601902902126312,0.26359285712242125,0.2686895549297333
validation,TREND_DOWN,338,0.33727810650887574,0.5223997493734336,0.3365141989865587,0.23377102709318845,0.6686140986535889,0.09891094402933616,0.4367823771068028,0.25645874022952553,0.07375392689518755,0.26917964220046997,0.3451937735080719,0.3663771152496338
validation,TREND_UP,273,0.41025641025641024,0.44698314108251996,0.369005453635048,0.28134777144087886,0.7911139432981333,0.18028890098625924,0.527508533000946,0.23819764613450228,0.066073392378344,0.25828465819358826,0.30238988995552063,0.3178480267524719
validation,VOLATILE,279,0.0,,,0.021659929440887914,0.14064817381878442,0.12803804766266577,0.3368167355656624,0.12803804766266577,0.0725685041296901,0.12251216173171997,0.24319136142730713,0.25828465819358826
