feature,psi,ks_stat,ks_pvalue,ks_significant,train_mean,hold_mean,mean_shift_pct,train_std,hold_std,std_ratio,train_p50,hold_p50,train_p25,hold_p25,train_p75,hold_p75,train_nan_pct,hold_nan_pct
ret_1_bps,0.10671461242109682,0.06142476568919836,3.8177474862354506e-139,True,0.021159363238619507,0.022318712920361933,5.479132873124859,4.611211381847514,6.601748315113631,1.4316733211733446,0.009675137956355329,0.0,-1.8103470341285233,-2.4418399027359428,1.9318378321309115,2.5398196728043665,0.0,0.0
direction_bias_20,0.0894023776650597,0.09485102980305664,0.0,True,0.500174456824043,0.471514344418233,-5.7300231864083795,0.1122456291699197,0.13294829945103334,1.1844407595179742,0.5,0.5,0.45,0.4,0.55,0.55,0.0,0.0
ret_60_bps,0.08155014768869992,0.06791991702654754,4.616068631301534e-170,True,1.404073271587756,1.4465645956627513,3.0262896463147073,32.37917271721646,43.46487359617285,1.3423713439015568,2.2678089419747582,1.099317323942639,-12.513631936094393,-18.692914642520762,17.369182160779097,21.992236504035922,0.0,0.0
ret_3_bps,0.08134011957969285,0.0639560235509603,8.005256486929006e-151,True,0.06315534862544438,0.06474620475300408,2.5189570432189763,7.946542445542667,11.276813695166332,1.419084308808113,0.14199924046165435,0.09725157328555056,-3.09988878789913,-4.401721072939679,3.4992751205820127,4.645053637968299,0.0,0.0
ret_20_bps,0.0808616068216333,0.06465755331040127,3.828130981465516e-154,True,0.46529813496866446,0.43121325581487985,-7.325384848754274,19.720378553305736,27.061373681018217,1.372254270195521,0.8842971130673671,0.5045026864758384,-7.509897821447176,-10.75207030919123,9.451902719614381,12.181378967408563,0.0,0.0
ret_5_bps,0.08049238488347536,0.06287675082628841,8.72300416690358e-146,True,0.1071981068325076,0.1080041636660289,0.7519319601990755,10.169828634752314,14.417839989901625,1.4177072698369084,0.2291774973517402,0.13671941757387174,-3.997168290610087,-5.60519797935588,4.579700227039241,6.092018395582599,0.0,0.0
ret_10_bps,0.07908674245323871,0.06386243043590684,2.2060196216277244e-150,True,0.21719546592047975,0.21190755916243564,-2.434630350724646,14.266722302616614,19.856048846886157,1.3917736971618666,0.4910587210582573,0.36960989620693496,-5.505377655500576,-7.8177580668403746,6.601275328011469,8.644787640572638,0.0,0.0
ema_50_slope_bps,0.07803393282420155,0.061913240076246906,2.317300275652805e-141,True,0.05736575413368849,0.019454925630704775,-66.0861665895169,1.9366526375957085,3.0803263791608315,1.5905414929723356,0.1396677052678541,0.0813864057680469,-0.6330829297460094,-0.9272497070356156,0.8981184202827563,1.1421218318696802,0.0,0.0
ema_9_dist_bps,0.07737698160452114,0.06177763282153431,9.597766609743486e-141,True,0.07277202018059453,0.010426024566115374,-85.67303010556536,6.157252980033992,10.506982850806457,1.7064400119941168,0.23238529721478426,0.183606144292759,-2.209351252090589,-3.1587786625863394,2.718748249103885,3.5773988663460643,0.0,0.0
ema_50_dist_bps,0.07719973239086739,0.06220494620950667,1.0783040006005953e-142,True,0.4406428412215916,0.08583277771507045,-80.52100919594498,16.17731534250557,26.288991679606426,1.6250528052023303,1.1448967253045517,0.6951954355242648,-5.226043622249201,-7.737946276727521,7.434138306234992,9.493747513349037,0.0,0.0
ema_21_slope_bps,0.07713245295455089,0.061000531893833726,3.110264186059467e-137,True,0.0578240096599925,0.01816249637624399,-68.5900421486842,2.908391566244553,4.711560629647737,1.6199884096457924,0.15199732697590562,0.1074938739997755,-0.9844668729899753,-1.4242067859970842,1.2963499382656618,1.6858474720260475,0.0,0.0
ema_9_slope_bps,0.07694852271690332,0.06214780449629681,1.968820122890447e-142,True,0.058578739222742864,0.019079052322311506,-67.43007232698362,4.19509680246268,6.9604620702847235,1.659189858155235,0.16312288251607576,0.13404785055959323,-1.525840315094451,-2.180113562694208,1.8629554405719118,2.4404289829771386,0.0,0.0
ema_21_dist_bps,0.07608687662627193,0.06064314599903464,1.2369577909293192e-135,True,0.180781266019963,0.028008209757807285,-84.50712774641941,10.134213061725307,16.853377645947766,1.6630178921278307,0.5274523132134712,0.38475675981431445,-3.436669668007633,-4.956610537303016,4.4831077551349034,5.8339014764092365,0.0,0.0
dow_cos,0.03549483332311877,0.04054926484478094,7.464659402395374e-61,True,0.010972110156793695,-0.017797527401356643,-262.206945837737,0.6999341584015398,0.7134960734513958,1.0193759853947573,0.30901699437494723,0.30901699437494723,-0.8090169943749473,-0.8090169943749473,0.30901699437494745,0.30901699437494745,0.0,0.0
dow_sin,0.03441331482948877,0.06874403968670184,3.3000094731744203e-174,True,0.010103046377854797,0.10284629242603215,917.9729895305087,0.714051619391289,0.6928414258126152,0.9702959926523926,0.0,0.0,-0.587785252292473,-0.587785252292473,0.5877852522924732,0.5877852522924732,0.0,0.0
price_velocity,0.023516989025784498,0.029831673552121796,3.9647860332812886e-33,True,0.007236548183569309,0.0009481092295029236,-86.89831015512722,0.680456863427333,0.6690195878446379,0.9831917683829663,0.002075633041656388,0.0,-0.40899037488676027,-0.3825491114480498,0.4338785024085693,0.39459422698737623,0.0,0.0
exhaustion_score,0.0210845390764132,0.049186981330543444,2.3669672389307325e-89,True,0.20581610232435552,0.21469821036068473,4.315555436559537,0.05809889018046311,0.06493257971965172,1.1176216688535798,0.20751376282675082,0.21346695395440937,0.1659729195234192,0.17145801587576692,0.24442710927663425,0.252953084138389,0.0,0.0
position_range_240,0.011332016508411208,0.04608295233695059,1.7705318707609385e-78,True,0.581038741309972,0.5575998788691465,-4.0339586216991625,0.27646071658679877,0.2718617515893287,0.983364848222872,0.6134616381918412,0.5687761069327971,0.35202483732691986,0.3320711381479509,0.8261015389276469,0.7986135618848805,0.0,0.0
adx_smooth_norm,0.009976967572367955,0.043324995721259474,2.0613096361670661e-69,True,0.24293876225702812,0.2533110859765064,4.269521907668735,0.09915786256522398,0.1053482638602961,1.0624297465929184,0.2216709390045422,0.231826368463091,0.16968641761576717,0.1751937374114061,0.2953857049283498,0.30944463298477975,0.0,0.0
adx_norm,0.009539751891516008,0.04235223913864061,2.3887797761127414e-66,True,0.2429432943378372,0.25330657095911074,4.265718305525721,0.10016509830376931,0.10635737380790938,1.0618206795299114,0.22153324081942605,0.2317437302672286,0.1688243173004062,0.17423710882477125,0.29625616269568755,0.30998641056670906,0.0,0.0
low_norm,0.008129731161732335,0.04187081270756765,7.39295934351205e-65,True,0.18454447100944565,0.07628322641589785,-58.664040929931836,1.4119867853282702,1.4114421690262267,0.9996142900859152,0.3051746475773225,0.13339569134539986,-0.8091156546667224,-0.9214338556445909,1.2326790597008703,1.1306197256912744,0.0,0.0
high_norm,0.008082583714759034,0.04215283843539164,9.946073012992275e-66,True,0.17066260871398564,0.05908098792220593,-65.38141012772508,1.4211884403007753,1.4209872476115615,0.9998584327852894,0.26922598985425344,0.09596595862769282,-0.8572157750351083,-0.9769318818953256,1.2233904422322113,1.1181259411305047,0.0,0.0
open_norm,0.007820382002151313,0.04255772989051393,5.454027649045055e-67,True,0.17762562506113405,0.06720691873348757,-62.163725345375155,1.4152501762462504,1.4148965554775912,0.9997501347999495,0.28572717820439697,0.11366961466911951,-0.8307614751156698,-0.9488149793298288,1.2273906853699832,1.1230395457766071,0.0,0.0
close_norm,0.007806090952679702,0.04258869846566682,4.3629112984613973e-67,True,0.1775890555009457,0.0673072142513583,-62.099457828360116,1.4152927759745166,1.4151142744012875,0.9998738758678534,0.2862272334090189,0.1135248549309049,-0.8318357551856981,-0.9479134247444243,1.2270395600020385,1.1234590179932455,0.0,0.0
chop_score,0.00567431884331949,0.02487052220433411,3.72557205238991e-23,True,0.275080430990838,0.27952196369363147,1.614630553925185,0.06143910206895159,0.06375551163294678,1.0377025127042552,0.2726748282174625,0.27670452337490087,0.23014348738065182,0.2330390643828109,0.31762048153785233,0.3224311659086018,0.0,0.0
range_expansion,0.004560991819524752,0.02046305323448122,8.188187102791637e-16,True,1.0089594491211011,1.009152092550885,0.0190932777091037,0.4745031764961501,0.5089590425131851,1.0726146138764572,0.9162094031000845,0.9056517253235928,0.6966508610987256,0.6784502767361755,1.211025110553764,1.214861809468409,0.0,0.0
dist_low_60,0.004473007966730377,0.030144203780540835,8.116401783235402e-34,True,4.662159948698379,4.486306124191304,-3.7719388953708473,2.880027109153662,2.830992576253034,0.9829742804407102,4.272576009825766,4.033931404692776,2.2754487373936025,2.166139504329072,6.8340574276104515,6.535649556135021,0.0,0.0
range_hl_rel,0.004454944535508385,0.02085710153240844,2.0649326452028977e-16,True,0.9885399105033438,0.9863633707166168,-0.22017722920432398,0.4322134893537234,0.45997214271136827,1.0642244006195345,0.9086136360413819,0.8982402036702754,0.6985210262998691,0.6811249773843064,1.1842899647178782,1.1869850274257066,0.0,0.0
