feature_group,n_features,critical,warning,ok,ks_significant,mean_psi,median_psi,max_psi
sequence_short,23,0,1,22,20,0.028218478771379334,0.007806090952679702,0.10671461242109682
sequence_long,10,0,0,10,10,0.050339854312300134,0.07716609267270913,0.0894023776650597
time,8,0,0,8,3,0.009124821807064976,0.0006064230766084155,0.03549483332311877
context,15,0,0,15,11,0.004362457478124883,0.002430423393947792,0.0210845390764132
