time,ret_60_bps,ret_1_bps,ret_5_bps,ret_3_bps,ret_10_bps,ret_20_bps,ema_50_slope_bps,ema_50_dist_bps,ema_9_slope_bps
2024-01-07,-1.1338712481858242,-0.016203597868965306,-0.08319037172100052,-0.04808252045965725,-0.16454071420912633,-0.3572894298239796,-0.05685122157631156,-0.4706407050798587,-0.05140761800322442
2024-01-14,0.14613510418923895,0.002570279529520754,0.013982897074648531,0.007879918016135419,0.02812291853129851,0.058518821148320674,0.007258587284998252,0.05387172121048433,0.008092763669496524
2024-01-21,-0.8571495467543525,-0.014348444051577825,-0.0721570741400655,-0.04312745506350579,-0.14409822729297309,-0.29154810023055316,-0.04341307307934217,-0.3586095286341302,-0.04371244090060833
2024-01-28,-0.15131306831920063,-0.003948058398420394,-0.018522132668634252,-0.011420044752121482,-0.0387915058013752,-0.07011867196925786,-0.010435697076671047,-0.08919111841175797,-0.011545181187672357
2024-02-04,0.7159931796665764,0.012613054446330985,0.06395704406720816,0.038484820194492016,0.12955945445895792,0.254050188051389,0.03660809131462186,0.2911768389773042,0.038087667210821706
2024-02-11,-0.6338205530690257,-0.009685665062043224,-0.049856857020945305,-0.029882426906642,-0.10046984361139025,-0.2074969668099627,-0.031690341574734895,-0.2611753988269019,-0.03060085856285064
2024-02-18,-0.506980582311219,-0.008213031965978789,-0.04109170966506565,-0.024527461022529274,-0.08129702297598337,-0.15715438926068084,-0.025126925481537533,-0.2103339077070339,-0.024648154453449186
2024-02-25,0.9196948966505707,0.014915082078386127,0.07514835559462585,0.044923571138927774,0.1501121624453413,0.29940547040012216,0.04592485474043083,0.3726389071890353,0.04484057622468707
2024-03-03,2.138834276068918,0.03497974706215095,0.17339836561121905,0.1044505550019308,0.3460623352265299,0.6976390321737725,0.10509233341956634,0.853423070924512,0.10376025873252231
2024-03-10,3.925370858167726,0.06645610702803861,0.33380505798189697,0.20006525787328477,0.671167123169786,1.341454930079632,0.19731262137508288,1.6046062070098115,0.200377905190438
2024-03-17,-1.0364559595085963,-0.016584909550178994,-0.08426139892332232,-0.05047877570194824,-0.17347183541517916,-0.3566870905327252,-0.05283227255603867,-0.4346049001113803,-0.05239645374909413
2024-03-24,0.5248518812850894,0.00824822449043119,0.041784275022608564,0.024920171596059713,0.08558980824523088,0.17606689239617293,0.025095792917912255,0.19601786120277045,0.024922800050871406
2024-03-31,3.6438550182736402,0.06401315771720704,0.31823941141356255,0.19065857916164614,0.6318328213324239,1.2619662613670029,0.1839638980556417,1.4966585644268484,0.18931120069557905
2024-04-07,2.725185091793205,0.04196369212248341,0.212845530913191,0.1277486530393355,0.42974533383153896,0.8641986383290571,0.1328923365599597,1.070813770586732,0.12793357530949573
2024-04-14,1.8468175587176583,0.03391393180054982,0.16596630993792613,0.10027106351774732,0.3288545059632071,0.6511741221876909,0.09168699956926053,0.7309547606059241,0.09708307431583674
2024-04-21,0.9956302640022333,0.013932547123873013,0.07182336700424664,0.0426925508091362,0.1452543775129481,0.2963309596195418,0.046474399384908285,0.3628825079582992,0.042330015139076714
2024-04-28,-1.8366684024667885,-0.030585501695990912,-0.15214910319954292,-0.09156992383298536,-0.302952728681378,-0.6080649270192556,-0.0927436349183573,-0.76902567514861,-0.09210762506577713
2024-05-05,-1.3739483107134622,-0.02579648891115551,-0.13052070865861504,-0.07842629256365242,-0.2565724333705515,-0.5097168585243294,-0.07264445537338952,-0.6045084752931222,-0.07827606234795562
