period,session,prob_bucket,n,mean_pred,empirical_rate,score_std,calibration_gap
validation,other,"[0.30,0.40)",27,0.3113539,0.7037037037037037,0.0021224006,0.3923498116157673
validation,other,"[0.40,0.50)",0,,,,
validation,other,"[0.50,0.60)",0,,,,
validation,other,"[0.60,0.70)",0,,,,
validation,other,"[0.70,0.80)",0,,,,
validation,other,"[0.80,0.90)",0,,,,
validation,other,"[0.90,1.00]",0,,,,
validation,overlap,"[0.00,0.10)",99,0.0118497,0.04040404040404041,0.023917034,0.028554340862114024
validation,overlap,"[0.10,0.20)",28,0.17292997,0.5714285714285714,0.013340645,0.39849859901836937
validation,overlap,"[0.20,0.30)",46,0.27326798,0.5434782608695652,0.016207084,0.2702102764793064
validation,overlap,"[0.30,0.40)",7,0.31049445,0.2857142857142857,0.0014768293,-0.024780167000634346
validation,overlap,"[0.40,0.50)",0,,,,
validation,overlap,"[0.50,0.60)",0,,,,
validation,overlap,"[0.60,0.70)",0,,,,
validation,overlap,"[0.70,0.80)",0,,,,
validation,overlap,"[0.80,0.90)",0,,,,
validation,overlap,"[0.90,1.00]",0,,,,
