period,state,n,pos_rate,auc_roc,auc_pr,brier,log_loss,ece,mce,score_mean,score_std,score_p50,score_p90,score_p95
train,BREAKOUT_WAIT_DOWN,3368,0.3565914489311164,0.5505116679032662,0.411641287156295,0.22855058975525808,0.6496678146238838,0.02788204725858294,0.8213773320118586,0.3287094016725335,0.030761075493231937,0.32025840878486633,0.3548983335494995,0.40620338916778564
train,BREAKOUT_WAIT_UP,1157,0.38547968885047534,0.5372966768209999,0.41276903048725444,0.23926387545713018,0.6720130313083064,0.05835560798748052,0.06311796314945162,0.33129615851178085,0.03119971278268011,0.32025840878486633,0.36201781034469604,0.40620338916778564
train,LOW_VOL,26262,0.33142944177899625,0.5224623737849096,0.3605421678213184,0.22105840104795593,0.6341053194263971,0.008929015889419956,0.09849419400972478,0.3275595436587745,0.031582317012676366,0.32025840878486633,0.3548983335494995,0.3879374563694
train,RANGE,34689,0.28669030528409584,0.518835260193593,0.2977256573831844,0.2067301579842067,0.6082487608065098,0.027623981800859114,0.21977897626507775,0.27082509050974024,0.057375599708241,0.2771166265010834,0.31695356965065,0.33697089552879333
train,TRANSITION_DOWN,46397,0.3024980063366166,0.532611504073739,0.325814657741357,0.21200085640832111,0.6176712152469952,0.01824820416047287,0.5925925970077515,0.2848376202448877,0.055464423617330005,0.3099362552165985,0.3393029570579529,0.34267961978912354
train,TRANSITION_UP,8339,0.2903225806451613,0.5167927321193584,0.3104635198912969,0.2086219182719583,0.6130148653870494,0.034787245850310074,0.40740740299224854,0.2760476229682436,0.06268716186761825,0.2976316809654236,0.3393029570579529,0.34267961978912354
train,TREND_DOWN,70671,0.30917915410847446,0.548454036805728,0.3478384187309578,0.21335524484371843,0.6205507242069467,0.01738505360275607,0.1658414566511071,0.29252395180801255,0.06402816088102031,0.3099362552165985,0.34491920471191406,0.36201781034469604
train,TREND_UP,68714,0.297624938149431,0.5544670759551242,0.34191200839878727,0.20830471233098524,0.609066346130988,0.011036141532850782,0.5929783980051676,0.2866405745714079,0.05964098825910124,0.3099362552165985,0.34267961978912354,0.3548983335494995
train,VOLATILE,33790,0.0,,,0.019083048033074528,0.12193068268224608,0.11082326256452042,0.42807409539818764,0.11082326256452042,0.08246970660569793,0.08456425368785858,0.23161867260932922,0.25836995244026184
validation,RANGE,235,0.2765957446808511,0.5757918552036199,0.3956999245881523,0.2010949844691347,0.5974478455075755,0.0911455138883692,0.20915133428984672,0.2569079277680275,0.07234093269894327,0.2771166265010834,0.3099362552165985,0.31477657556533806
validation,TRANSITION_DOWN,158,0.2848101265822785,0.3997050147492625,0.2585138611806279,0.2220527022012004,0.6666234200373868,0.11666955162264123,0.4640691782037417,0.2340979978347881,0.06872156307585908,0.25836995244026184,0.3013230532407762,0.3099362552165985
validation,TRANSITION_UP,25,0.24,0.5219298245614035,0.282783189033189,0.1795964056391568,0.5264551978172523,0.0736931674182415,0.22685433924198153,0.18625495240092277,0.08865319456931205,0.23161867260932922,0.2698012590408325,0.2698012590408325
validation,TREND_DOWN,338,0.33727810650887574,0.5267073934837093,0.34055253282422443,0.2277800615578623,0.6499875406329926,0.07845839798538644,0.41972100734710693,0.26378682103647283,0.06692071618397084,0.27706050872802734,0.32025840878486633,0.3393029570579529
validation,TREND_UP,273,0.41025641025641024,0.4360581188997338,0.35484471244587484,0.2727451754939448,0.762750661813076,0.17003482913823567,0.2998852560828839,0.248261257780941,0.059241585522389145,0.2698012590408325,0.2976316809654236,0.3099362552165985
validation,VOLATILE,279,0.0,,,0.011160209953691321,0.06809368936079642,0.06148056412202482,0.40620338916778564,0.06148056412202483,0.08590896454345678,0.026128266006708145,0.1953892707824707,0.2495513051748275
