period,n,pos_rate,auc_roc,auc_pr,brier,log_loss,ece,mce,score_mean,score_std,score_p50,score_p90,score_p95
train,293387,0.269449566613381,0.6090606719435053,0.33832140126864707,0.18963172016681465,0.5600602640261988,0.0002330895938464957,0.0005171026615762089,0.2696741644868501,0.0847779919111328,0.2976316809654236,0.34267961978912354,0.3548983335494995
validation,1308,0.26146788990825687,0.6252769605172351,0.32180283317038394,0.18455225591169686,0.5396123721301239,0.05228266363895129,0.4152151346206665,0.21108988285013433,0.10657458362519212,0.25836995244026184,0.3099362552165985,0.31384357810020447
