sl_mult,base_rate,pct_bar1,ratio,n_tp,n_sl
0.75,0.12555925626754302,34.05920462792981,4.0,68083,374768
1.0,0.14050656722693725,22.15045650500619,3.0,76188,328693
1.25,0.15000424167985277,14.196849182940296,2.4,81338,286148
1.5,0.15618049638719528,9.206662913749044,2.0,84687,246919
1.75,0.16021746908184228,6.1661654099839005,1.7142857142857142,86876,211801
2.0,0.16286759688550045,4.284352942480083,1.5,88313,180494
2.5,0.1658957874586436,2.3952234922404982,1.2,89955,129132
3.0,0.1673029186445804,1.644556517925666,1.0,90718,91210
