period,n,pos_rate,auc_roc,auc_pr,brier,log_loss,ece,mce,score_mean,score_std,score_p50,score_p90,score_p95
holdout,80536,0.20554782954206816,0.5767179262696388,0.2467733885775516,0.17130420203784083,0.5246765548998813,0.10128433492652972,0.11446293128466786,0.30683216446859785,0.06210502114255709,0.3164454806312769,0.36148310102942516,0.36349453978159124
train,293387,0.27057776929448135,0.6055788033804699,0.333215559654014,0.1929312580545234,0.5700278688668974,0.048077550741037096,0.05739216201383254,0.22250021855344426,0.0810040621411929,0.24557919800281525,0.30766624212265015,0.3230888247489929
validation,1308,0.21483180428134557,0.620871695537221,0.2988505878284896,0.16817918409721233,0.529966223746092,0.06317782945594883,0.07931271993166425,0.15165397482539672,0.0839021693892495,0.1634398177266121,0.24557919800281525,0.2596862211823462
