period,state,prob_bucket,n,mean_pred,empirical_rate,score_std,calibration_gap
holdout,TREND_UP,"[0.40,0.50)",0,,,,
holdout,TREND_UP,"[0.50,0.60)",0,,,,
holdout,TREND_UP,"[0.60,0.70)",0,,,,
holdout,TREND_UP,"[0.70,0.80)",0,,,,
holdout,TREND_UP,"[0.80,0.90)",0,,,,
holdout,TREND_UP,"[0.90,1.00]",0,,,,
holdout,VOLATILE,"[0.00,0.10)",2558,0.03311074174590122,0.0,0.026959628793761837,-0.03311074174590122
holdout,VOLATILE,"[0.10,0.20)",698,0.16210204293607494,0.0,0.01777596532782748,-0.16210204293607494
holdout,VOLATILE,"[0.20,0.30)",7652,0.27914533731635255,0.0,0.018856836268150778,-0.27914533731635255
holdout,VOLATILE,"[0.30,0.40)",16273,0.3335224690434426,0.0,0.023084633309201037,-0.3335224690434426
holdout,VOLATILE,"[0.40,0.50)",0,,,,
holdout,VOLATILE,"[0.50,0.60)",0,,,,
holdout,VOLATILE,"[0.60,0.70)",0,,,,
holdout,VOLATILE,"[0.70,0.80)",0,,,,
holdout,VOLATILE,"[0.80,0.90)",0,,,,
holdout,VOLATILE,"[0.90,1.00]",0,,,,
train,BREAKOUT_WAIT_DOWN,"[0.00,0.10)",0,,,,
train,BREAKOUT_WAIT_DOWN,"[0.10,0.20)",14,0.1681707767503602,0.07142857142857142,0.012726327080055923,-0.09674220532178879
train,BREAKOUT_WAIT_DOWN,"[0.20,0.30)",2042,0.2697154347083361,0.33692458374143,0.016672345122267264,0.06720914903309388
train,BREAKOUT_WAIT_DOWN,"[0.30,0.40)",1312,0.32578963931740784,0.38414634146341464,0.014177785082402205,0.0583567021460068
train,BREAKOUT_WAIT_DOWN,"[0.40,0.50)",0,,,,
train,BREAKOUT_WAIT_DOWN,"[0.50,0.60)",0,,,,
train,BREAKOUT_WAIT_DOWN,"[0.60,0.70)",0,,,,
train,BREAKOUT_WAIT_DOWN,"[0.70,0.80)",0,,,,
train,BREAKOUT_WAIT_DOWN,"[0.80,0.90)",0,,,,
train,BREAKOUT_WAIT_DOWN,"[0.90,1.00]",0,,,,
train,BREAKOUT_WAIT_UP,"[0.00,0.10)",0,,,,
train,BREAKOUT_WAIT_UP,"[0.10,0.20)",6,0.17885424196720123,0.16666666666666666,0.00958210710553958,-0.012187575300534575
train,BREAKOUT_WAIT_UP,"[0.20,0.30)",681,0.27017204675730455,0.328928046989721,0.01605362688919463,0.05875600023241645
train,BREAKOUT_WAIT_UP,"[0.30,0.40)",470,0.32612944378497755,0.32340425531914896,0.014422266539397701,-0.0027251884658285874
train,BREAKOUT_WAIT_UP,"[0.40,0.50)",0,,,,
train,BREAKOUT_WAIT_UP,"[0.50,0.60)",0,,,,
train,BREAKOUT_WAIT_UP,"[0.60,0.70)",0,,,,
train,BREAKOUT_WAIT_UP,"[0.70,0.80)",0,,,,
train,BREAKOUT_WAIT_UP,"[0.80,0.90)",0,,,,
train,BREAKOUT_WAIT_UP,"[0.90,1.00]",0,,,,
train,LOW_VOL,"[0.00,0.10)",0,,,,
train,LOW_VOL,"[0.10,0.20)",337,0.16227186199288693,0.2818991097922849,0.02289444308896741,0.11962724779939796
train,LOW_VOL,"[0.20,0.30)",18080,0.2659892703183984,0.31863938053097346,0.018767100359716404,0.05265011021257504
train,LOW_VOL,"[0.30,0.40)",7845,0.32315469278204284,0.3635436583811345,0.012715904630690337,0.040388965599091664
train,LOW_VOL,"[0.40,0.50)",0,,,,
train,LOW_VOL,"[0.50,0.60)",0,,,,
train,LOW_VOL,"[0.60,0.70)",0,,,,
train,LOW_VOL,"[0.70,0.80)",0,,,,
train,LOW_VOL,"[0.80,0.90)",0,,,,
train,LOW_VOL,"[0.90,1.00]",0,,,,
train,RANGE,"[0.00,0.10)",1761,0.0434324916579162,0.26348665530948323,0.021816143402707665,0.22005416365156705
train,RANGE,"[0.10,0.20)",6585,0.14502885235853963,0.28443432042520883,0.02833112044127611,0.1394054680666692
train,RANGE,"[0.20,0.30)",24069,0.25014795778552407,0.3008849557522124,0.021946174195564095,0.050736997966688346
train,RANGE,"[0.30,0.40)",2274,0.3197178173557959,0.3641160949868074,0.011046302356397144,0.04439827763101151
train,RANGE,"[0.40,0.50)",0,,,,
train,RANGE,"[0.50,0.60)",0,,,,
train,RANGE,"[0.60,0.70)",0,,,,
train,RANGE,"[0.70,0.80)",0,,,,
train,RANGE,"[0.80,0.90)",0,,,,
train,RANGE,"[0.90,1.00]",0,,,,
train,TRANSITION_DOWN,"[0.00,0.10)",1402,0.043001545607144316,0.26676176890156916,0.02193595653416489,0.22376022329442485
train,TRANSITION_DOWN,"[0.10,0.20)",6702,0.14792095881118877,0.26977021784541927,0.02860114996805409,0.1218492590342305
train,TRANSITION_DOWN,"[0.20,0.30)",33492,0.25217548984120813,0.3033858831959871,0.022005250381052027,0.05121039335477895
train,TRANSITION_DOWN,"[0.30,0.40)",4801,0.3221160080613655,0.34284524057488025,0.01286102240954827,0.020729232513514773
train,TRANSITION_DOWN,"[0.40,0.50)",0,,,,
train,TRANSITION_DOWN,"[0.50,0.60)",0,,,,
train,TRANSITION_DOWN,"[0.60,0.70)",0,,,,
train,TRANSITION_DOWN,"[0.70,0.80)",0,,,,
train,TRANSITION_DOWN,"[0.80,0.90)",0,,,,
train,TRANSITION_DOWN,"[0.90,1.00]",0,,,,
train,TRANSITION_UP,"[0.00,0.10)",315,0.045526294759613284,0.2,0.02226914998888678,0.15447370524038673
train,TRANSITION_UP,"[0.10,0.20)",1284,0.14665559375211829,0.21573208722741433,0.0281107819721298,0.06907649347529604
train,TRANSITION_UP,"[0.20,0.30)",5973,0.2524259829120023,0.3055416038841453,0.02157821737229921,0.05311562097214301
train,TRANSITION_UP,"[0.30,0.40)",767,0.32260613774849195,0.35984354628422427,0.013914428731102367,0.03723740853573232
train,TRANSITION_UP,"[0.40,0.50)",0,,,,
train,TRANSITION_UP,"[0.50,0.60)",0,,,,
train,TRANSITION_UP,"[0.60,0.70)",0,,,,
train,TRANSITION_UP,"[0.70,0.80)",0,,,,
train,TRANSITION_UP,"[0.80,0.90)",0,,,,
train,TRANSITION_UP,"[0.90,1.00]",0,,,,
train,TREND_DOWN,"[0.00,0.10)",1531,0.045804655745119154,0.2606139777922926,0.021956885818303587,0.21480932204717346
train,TREND_DOWN,"[0.10,0.20)",10103,0.14607355115845053,0.27140453330693853,0.028595210029930273,0.125330982148488
train,TREND_DOWN,"[0.20,0.30)",48877,0.251169684669423,0.3049286985698795,0.022505477563540398,0.053759013900456454
train,TREND_DOWN,"[0.30,0.40)",10160,0.3242543435589535,0.3687992125984252,0.01365129603188117,0.04454486903947169
train,TREND_DOWN,"[0.40,0.50)",0,,,,
train,TREND_DOWN,"[0.50,0.60)",0,,,,
train,TREND_DOWN,"[0.60,0.70)",0,,,,
train,TREND_DOWN,"[0.70,0.80)",0,,,,
train,TREND_DOWN,"[0.80,0.90)",0,,,,
train,TREND_DOWN,"[0.90,1.00]",0,,,,
train,TREND_UP,"[0.00,0.10)",1494,0.04823448065731812,0.2074966532797858,0.02237732041884658,0.1592621726224677
train,TREND_UP,"[0.10,0.20)",12111,0.14473088468177284,0.2439104945916935,0.02858716523481495,0.09917960990992067
train,TREND_UP,"[0.20,0.30)",50244,0.2518551974952453,0.3078377517713558,0.021557776896572213,0.055982554276110486
train,TREND_UP,"[0.30,0.40)",4865,0.3234980045952753,0.3588900308324769,0.014459555974958758,0.03539202623720161
train,TREND_UP,"[0.40,0.50)",0,,,,
train,TREND_UP,"[0.50,0.60)",0,,,,
train,TREND_UP,"[0.60,0.70)",0,,,,
train,TREND_UP,"[0.70,0.80)",0,,,,
train,TREND_UP,"[0.80,0.90)",0,,,,
train,TREND_UP,"[0.90,1.00]",0,,,,
train,VOLATILE,"[0.00,0.10)",19753,0.02662425320036562,0.0,0.02102007674924627,-0.02662425320036562
train,VOLATILE,"[0.10,0.20)",11618,0.13179042636783833,0.0,0.026088844468278475,-0.13179042636783833
train,VOLATILE,"[0.20,0.30)",2416,0.22848568579786463,0.0,0.014274769968638107,-0.22848568579786463
train,VOLATILE,"[0.30,0.40)",3,0.3128071029980977,0.0,0.008904232230918241,-0.3128071029980977
train,VOLATILE,"[0.40,0.50)",0,,,,
train,VOLATILE,"[0.50,0.60)",0,,,,
train,VOLATILE,"[0.60,0.70)",0,,,,
train,VOLATILE,"[0.70,0.80)",0,,,,
train,VOLATILE,"[0.80,0.90)",0,,,,
train,VOLATILE,"[0.90,1.00]",0,,,,
validation,RANGE,"[0.00,0.10)",34,0.04636815699803479,0.38235294117647056,0.021033875462950914,0.3359847841784358
validation,RANGE,"[0.10,0.20)",115,0.13667174512925356,0.33043478260869563,0.03052604665695032,0.19376303747944207
validation,RANGE,"[0.20,0.30)",86,0.23433444770269615,0.45348837209302323,0.016906166537769916,0.21915392439032708
validation,RANGE,"[0.30,0.40)",0,,,,
validation,RANGE,"[0.40,0.50)",0,,,,
validation,RANGE,"[0.50,0.60)",0,,,,
validation,RANGE,"[0.60,0.70)",0,,,,
validation,RANGE,"[0.70,0.80)",0,,,,
validation,RANGE,"[0.80,0.90)",0,,,,
validation,RANGE,"[0.90,1.00]",0,,,,
validation,TRANSITION_DOWN,"[0.00,0.10)",35,0.05614143588713237,0.34285714285714286,0.021698588319736804,0.2867157069700105
validation,TRANSITION_DOWN,"[0.10,0.20)",75,0.12932526548703513,0.22666666666666666,0.028050897799240262,0.09734140117963153
validation,TRANSITION_DOWN,"[0.20,0.30)",48,0.23194905215253434,0.375,0.015618484273888887,0.14305094784746566
validation,TRANSITION_DOWN,"[0.30,0.40)",0,,,,
validation,TRANSITION_DOWN,"[0.40,0.50)",0,,,,
validation,TRANSITION_DOWN,"[0.50,0.60)",0,,,,
validation,TRANSITION_DOWN,"[0.60,0.70)",0,,,,
validation,TRANSITION_DOWN,"[0.70,0.80)",0,,,,
validation,TRANSITION_DOWN,"[0.80,0.90)",0,,,,
validation,TRANSITION_DOWN,"[0.90,1.00]",0,,,,
validation,TRANSITION_UP,"[0.00,0.10)",11,0.03758357786996798,0.8181818181818182,0.00807833187268876,0.7805982403118502
validation,TRANSITION_UP,"[0.10,0.20)",11,0.11739961057901382,0.18181818181818182,0.018108125557416983,0.064418571239168
validation,TRANSITION_UP,"[0.20,0.30)",3,0.22192957500616708,0.3333333333333333,0.009669375012260152,0.11140375832716623
validation,TRANSITION_UP,"[0.30,0.40)",0,,,,
validation,TRANSITION_UP,"[0.40,0.50)",0,,,,
validation,TRANSITION_UP,"[0.50,0.60)",0,,,,
validation,TRANSITION_UP,"[0.60,0.70)",0,,,,
validation,TRANSITION_UP,"[0.70,0.80)",0,,,,
validation,TRANSITION_UP,"[0.80,0.90)",0,,,,
validation,TRANSITION_UP,"[0.90,1.00]",0,,,,
validation,TREND_DOWN,"[0.00,0.10)",24,0.050903297029435635,0.125,0.021363625984660056,0.07409670297056437
validation,TREND_DOWN,"[0.10,0.20)",83,0.13550030287489834,0.21686746987951808,0.030525473320210383,0.08136716700461974
validation,TREND_DOWN,"[0.20,0.30)",231,0.2423089716857646,0.2510822510822511,0.018529651065268885,0.008773279396486477
validation,TREND_DOWN,"[0.30,0.40)",0,,,,
validation,TREND_DOWN,"[0.40,0.50)",0,,,,
validation,TREND_DOWN,"[0.50,0.60)",0,,,,
validation,TREND_DOWN,"[0.60,0.70)",0,,,,
