threshold_source,quantile,threshold,train_precision,holdout_precision,train_signal_rate,holdout_signal_rate,holdout_profit_factor
train_percentile_value,80,0.3178480267524719,0.3415458574325847,0.32882585751978893,0.28693665538720176,0.39613274105043117,0.48992628992628995
holdout_percentile_value,80,0.3451937747940189,0.3456243854473943,0.35355512067840833,0.04383904131732655,0.2002874314084139,0.5469223007063572
train_percentile_value,85,0.33542096614837646,0.3403290581681565,0.35135135135135137,0.16636851520572452,0.27554220015678077,0.5416666666666666
holdout_percentile_value,85,0.3451937747940189,0.3456243854473943,0.35355512067840833,0.04383904131732655,0.2002874314084139,0.5469223007063572
train_percentile_value,90,0.3376971483230591,0.34411483253588515,0.3555424528301887,0.11261503976550208,0.2215834857590802,0.5516925892040256
holdout_percentile_value,90,0.3663771078180889,0.364656381486676,0.36517412935323385,0.030734745780977218,0.1313038933890776,0.5752351097178683
train_percentile_value,95,0.3451937735080719,0.34096216721158334,0.35355512067840833,0.09229044981356553,0.2002874314084139,0.5469223007063572
holdout_percentile_value,95,0.4288150042625747,0.38974358974358975,0.4052132701421801,0.004202857943401513,0.055134570159393784,0.6812749003984063
train_percentile_value,97,0.3663771152496338,0.364656381486676,0.380449141347424,0.030734745780977218,0.09890253462241964,0.6140724946695096
holdout_percentile_value,97,0.44664031620553357,0.36363636363636365,0.397212543554007,0.0007112528827294868,0.0374967337339953,0.6589595375722543
train_percentile_value,98,0.3663771152496338,0.364656381486676,0.380449141347424,0.030734745780977218,0.09890253462241964,0.6140724946695096
holdout_percentile_value,98,0.4609286523216308,0.5714285714285714,0.38967136150234744,0.0001508718236092851,0.027828586360073165,0.6384615384615384
train_percentile_value,99,0.39063793420791626,0.38117283950617287,0.380449141347424,0.013966420242688104,0.09890253462241964,0.6140724946695096
holdout_percentile_value,99,0.5324675324675324,0.5714285714285714,0.3829787234042553,0.0001508718236092851,0.012281160177684871,0.6206896551724138
