threshold_source,quantile,threshold,train_precision,holdout_precision,train_signal_rate,holdout_signal_rate,holdout_profit_factor
train_percentile_value,80,0.33542096614837646,0.35983379501385043,0.33851944792973654,0.2101464039351515,0.23866562855602802,0.5117602427921093
holdout_percentile_value,80,0.3354209710743802,0.3677442400428648,0.33851944792973654,0.16296533457519574,0.23866562855602802,0.5117602427921093
train_percentile_value,85,0.3376971483230591,0.3677442400428648,0.3425840271353685,0.16296533457519574,0.1942265077558843,0.5211069418386491
holdout_percentile_value,85,0.3451937747940189,0.39209774674706444,0.3456237077877326,0.09171347905812498,0.1738036773073007,0.5281727224855187
train_percentile_value,90,0.3451937735080719,0.37381074168797956,0.3456237077877326,0.14225630875804057,0.1738036773073007,0.5281727224855187
holdout_percentile_value,90,0.3663771078180889,0.4039643211100099,0.3611874656404618,0.07342026370172017,0.1089417260585734,0.5654044750430293
train_percentile_value,95,0.3663771152496338,0.4039643211100099,0.366691015339664,0.07342026370172017,0.08199077678624903,0.5790080738177624
holdout_percentile_value,95,0.4288150042625747,0.44417077175697867,0.3404761904761905,0.01772564542887912,0.05030843864167216,0.516245487364621
train_percentile_value,97,0.4074702858924866,0.4319271332694152,0.37340619307832423,0.03035771458509183,0.06576031622447147,0.5959302325581395
holdout_percentile_value,97,0.44664031620553357,0.4506024096385542,0.34146341463414637,0.006039526151875891,0.03683296400550997,0.5185185185185185
train_percentile_value,98,0.42626070976257324,0.43681140635126375,0.3404761904761905,0.022455394824926506,0.05030843864167216,0.516245487364621
holdout_percentile_value,98,0.4609286523216308,0.4948453608247423,0.3413654618473896,0.0014116482812818348,0.029825717194705635,0.5182926829268293
train_percentile_value,99,0.4466403126716614,0.4454022988505747,0.34146341463414637,0.010128940245073784,0.03683296400550997,0.5185185185185185
holdout_percentile_value,99,0.5324675324675324,0.4948453608247423,0.3281853281853282,0.0014116482812818348,0.015511768581182249,0.4885057471264368
