threshold_source,quantile,threshold,train_precision,holdout_precision,train_signal_rate,holdout_signal_rate,holdout_profit_factor
train_percentile_value,80,0.3178480267524719,0.32685185185185184,0.2681704260651629,0.2590238637726346,0.3107476635514019,0.3664383561643836
holdout_percentile_value,80,0.3354209710743802,0.3446761800219539,0.2574626865671642,0.10924571291521765,0.2087227414330218,0.34673366834170855
train_percentile_value,85,0.33542096614837646,0.3410493827160494,0.2574626865671642,0.15541431826358076,0.2087227414330218,0.34673366834170855
holdout_percentile_value,85,0.3451937747940189,0.36239782016348776,0.2623762376237624,0.044010073150257824,0.1573208722741433,0.35570469798657717
train_percentile_value,90,0.3376971483230591,0.3446761800219539,0.2764976958525346,0.10924571291521765,0.1690031152647975,0.3821656050955414
holdout_percentile_value,90,0.35274444225850876,0.3905109489051095,0.2945205479452055,0.0328576567933805,0.11370716510903427,0.4174757281553398
train_percentile_value,95,0.3451937735080719,0.33989501312335957,0.2623762376237624,0.09137786305312387,0.1573208722741433,0.35570469798657717
holdout_percentile_value,95,0.3991494377261838,0.4387755102040816,0.3384615384615385,0.011752008634128792,0.050623052959501556,0.5116279069767442
train_percentile_value,97,0.3663771152496338,0.3925925925925926,0.3170731707317073,0.032377982971579324,0.06386292834890965,0.4642857142857143
holdout_percentile_value,97,0.4353884103846256,0.19230769230769232,0.3333333333333333,0.003117879841707639,0.030373831775700934,0.5
train_percentile_value,98,0.3663771152496338,0.3925925925925926,0.3170731707317073,0.032377982971579324,0.06386292834890965,0.4642857142857143
holdout_percentile_value,98,0.44664031620553357,0.06666666666666667,0.38235294117647056,0.001798776831754407,0.0264797507788162,0.6190476190476191
train_percentile_value,99,0.4074702858924866,0.42528735632183906,0.3333333333333333,0.010432905624175561,0.04672897196261682,0.5
holdout_percentile_value,99,0.4609286523216308,0.0,0.48,0.0007195107327017628,0.019470404984423675,0.9230769230769231
