threshold_source,quantile,threshold,train_precision,holdout_precision,train_signal_rate,holdout_signal_rate,holdout_profit_factor
train_percentile_value,80,0.31071528792381287,0.310667233319167,0.30794520547945203,0.20349390296635822,0.4782494758909853,0.444972288202692
holdout_percentile_value,80,0.3451937747940189,0.37028824833702884,0.30311017395888246,0.013001239586035919,0.2485587002096436,0.434947049924357
train_percentile_value,85,0.3178480267524719,0.315936463606214,0.30306674684305474,0.16515321859955606,0.4357966457023061,0.43485763589301124
holdout_percentile_value,85,0.3663771078180889,0.4036363636363636,0.31949152542372883,0.007927585113436535,0.15461215932914046,0.46948941469489414
train_percentile_value,90,0.3178480267524719,0.315936463606214,0.30306674684305474,0.16515321859955606,0.4357966457023061,0.43485763589301124
holdout_percentile_value,90,0.3906379453189728,0.5,0.3381468110709988,0.0014990342759952722,0.10888364779874214,0.5109090909090909
train_percentile_value,95,0.33542096614837646,0.33358749523446435,0.3056013179571664,0.07561474819106921,0.31813417190775684,0.4400948991696323
holdout_percentile_value,95,0.4288150042625747,0.631578947368421,0.38207547169811323,0.0005477240623828879,0.05555555555555555,0.6183206106870229
train_percentile_value,97,0.3451937735080719,0.34334763948497854,0.30311017395888246,0.033584133298740236,0.2485587002096436,0.434947049924357
holdout_percentile_value,97,0.44664031620553357,0.0,0.37083333333333335,0.0,0.031446540880503145,0.5894039735099338
train_percentile_value,98,0.3451937735080719,0.34334763948497854,0.30311017395888246,0.033584133298740236,0.2485587002096436,0.434947049924357
holdout_percentile_value,98,0.44664031620553357,0.0,0.37083333333333335,0.0,0.031446540880503145,0.5894039735099338
train_percentile_value,99,0.3527444303035736,0.37028824833702884,0.31516936671575846,0.013001239586035919,0.1779350104821803,0.46021505376344085
holdout_percentile_value,99,0.4609286523216308,0.0,0.34,0.0,0.019654088050314465,0.5151515151515151
