threshold_source,quantile,threshold,train_precision,holdout_precision,train_signal_rate,holdout_signal_rate,holdout_profit_factor
train_percentile_value,80,0.3376971483230591,0.37137254901960787,0.4153887543718052,0.21649615825444665,0.19766019675618188,0.7105384261389783
holdout_percentile_value,80,0.3354209710743802,0.37137254901960787,0.4121863799283154,0.21649615825444665,0.2373836745546397,0.7012195121951219
train_percentile_value,85,0.3451937735080719,0.37355284919560966,0.41474115238373793,0.18822430700004245,0.18181334751395906,0.7086456771614192
holdout_percentile_value,85,0.3451937747940189,0.3943069306930693,0.41474115238373793,0.11433261167947248,0.18181334751395906,0.7086456771614192
train_percentile_value,90,0.3527444303035736,0.3943069306930693,0.4132770529547199,0.11433261167947248,0.138580164849774,0.7043819489862655
holdout_percentile_value,90,0.3663771078180889,0.40210627094303497,0.4201754385964912,0.0886785244301057,0.12124434990693965,0.7246596066565809
train_percentile_value,95,0.3663771152496338,0.40210627094303497,0.43157894736842106,0.0886785244301057,0.09093326243020473,0.7592592592592593
holdout_percentile_value,95,0.4288150042625747,0.472397476340694,0.4514285714285714,0.017942295991283552,0.05583621377293273,0.8229166666666666
train_percentile_value,97,0.4074702858924866,0.44749249892841836,0.42857142857142855,0.03301212661487739,0.07482052645572985,0.75
holdout_percentile_value,97,0.4609286523216308,0.5897435897435898,0.4809027777777778,0.0011037059048265908,0.030630151555437385,0.9264214046822743
train_percentile_value,98,0.42626070976257324,0.46662657847263983,0.4514285714285714,0.023531575893931032,0.05583621377293273,0.8229166666666666
holdout_percentile_value,98,0.4609286523216308,0.5897435897435898,0.4809027777777778,0.0011037059048265908,0.030630151555437385,0.9264214046822743
train_percentile_value,99,0.44170403480529785,0.49642857142857144,0.44651162790697674,0.01188606359044021,0.045732517947354424,0.8067226890756303
holdout_percentile_value,99,0.5324675324675324,0.5897435897435898,0.5534351145038168,0.0011037059048265908,0.013932464770007976,1.2393162393162394
