sl_mult,base_rate,pct_bar1,ratio,n_tp,n_sl
0.75,0.19453357721452835,30.34544361649613,4.0,74448,297791
1.0,0.2347530702900444,18.489783488260798,3.0,89840,275828
1.25,0.2677893911680167,11.12195657372236,2.4,102483,255099
1.5,0.29433760125424613,6.749116757641691,2.0,112643,235779
1.75,0.31579566239874574,4.244792385791475,1.7142857142857142,120855,217278
2.0,0.3324771361379671,2.7576871590977206,1.5,127239,200204
2.5,0.3570054873268879,1.2958912067912762,1.2,136626,168687
3.0,0.3723255813953488,0.7298907646474677,1.0,142489,140980
